I II III aVR aVL aVF V1 V2 AO SPO2
0.007 -0.039 -0.054 0.020 0.027 -0.042 0.007 75.000 74.400 0.303 
0.010 -0.051 -0.068 0.024 0.037 -0.056 0.015 74.800 74.200 0.274 
0.015 -0.029 -0.049 0.010 0.029 -0.037 0.002 74.600 73.800 0.244 
0.015 0.002 -0.017 -0.005 0.015 -0.005 -0.005 74.400 73.600 0.215 
0.012 0.010 -0.012 -0.005 0.007 0.005 -0.010 74.200 73.400 0.195 
-0.012 -0.010 -0.002 0.015 -0.007 -0.002 0.007 74.000 73.200 0.176 
-0.015 -0.034 -0.029 0.029 0.002 -0.027 0.015 73.600 73.000 0.156 
-0.010 -0.046 -0.044 0.032 0.015 -0.042 0.020 73.400 72.600 0.137 
-0.010 -0.061 -0.056 0.039 0.022 -0.056 0.022 73.000 72.400 0.127 
-0.012 -0.071 -0.059 0.042 0.024 -0.063 0.027 72.800 72.200 0.117 
-0.010 -0.020 -0.015 0.017 -0.000 -0.015 0.007 72.600 71.800 0.107 
-0.007 -0.022 -0.017 0.017 0.005 -0.017 0.010 72.200 71.600 0.098 
-0.010 -0.027 -0.022 0.022 0.005 -0.022 0.010 72.000 71.400 0.156 
-0.010 -0.046 -0.042 0.032 0.015 -0.042 0.020 71.800 71.200 0.215 
-0.000 -0.061 -0.063 0.032 0.032 -0.061 0.017 71.600 70.800 0.274 
-0.002 -0.081 -0.083 0.044 0.039 -0.078 0.027 71.200 70.600 0.332 
0.007 -0.076 -0.093 0.039 0.046 -0.078 0.020 71.000 70.400 0.415 
0.012 -0.049 -0.066 0.022 0.037 -0.054 0.012 70.800 70.000 0.498 
0.020 -0.032 -0.056 0.010 0.037 -0.042 0.002 70.600 69.800 0.581 
-0.000 -0.032 -0.039 0.020 0.017 -0.032 0.010 70.400 69.400 0.664 
0.010 -0.017 -0.037 0.010 0.020 -0.022 -0.000 70.000 69.200 0.777 
0.010 -0.012 -0.029 0.005 0.017 -0.017 -0.000 69.600 69.000 0.889 
0.027 -0.010 -0.039 -0.007 0.032 -0.022 -0.007 69.400 68.600 1.001 
0.015 -0.000 -0.022 -0.002 0.015 -0.007 -0.005 69.000 68.400 1.114 
0.022 0.032 0.007 -0.024 0.007 0.022 -0.020 68.800 68.000 1.245 
0.029 -0.020 -0.051 -0.002 0.039 -0.034 -0.002 68.400 67.800 1.377 
0.024 -0.054 -0.081 0.017 0.051 -0.066 0.007 68.200 67.400 1.509 
0.022 -0.027 -0.056 0.007 0.037 -0.037 0.002 67.800 67.200 1.641 
0.024 -0.024 -0.054 0.002 0.037 -0.037 -0.002 67.600 66.800 1.773 
0.032 0.007 -0.029 -0.017 0.029 -0.007 -0.012 67.400 66.600 1.905 
0.027 -0.017 -0.051 -0.000 0.037 -0.029 -0.005 67.000 66.200 2.037 
0.044 -0.027 -0.078 -0.005 0.059 -0.049 -0.005 66.800 66.000 2.168 
