I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 0.134 -0.000 -0.012 0.107 0.049 -0.066 -1.800 107.200 -0.132 2.330 
-0.000 0.112 -0.000 -0.017 0.093 0.044 -0.054 -1.800 107.200 -0.132 2.315 
-0.000 0.088 -0.000 -0.012 0.073 0.044 -0.042 -1.800 107.200 -0.132 2.300 
-0.000 0.066 -0.000 -0.015 0.059 0.037 -0.029 -1.800 107.000 -0.132 2.286 
-0.000 0.042 -0.000 -0.015 0.039 0.027 -0.017 -1.800 106.600 -0.132 2.261 
-0.000 0.051 -0.000 -0.012 0.046 0.027 -0.024 -1.800 106.400 -0.132 2.237 
-0.000 0.037 -0.000 -0.010 0.034 0.022 -0.017 -1.800 105.800 -0.132 2.212 
-0.000 0.007 -0.000 -0.002 0.007 0.015 -0.005 -1.800 105.400 -0.132 2.188 
-0.000 0.007 -0.000 -0.017 0.015 0.015 -0.000 -1.800 104.600 -0.132 2.164 
-0.000 -0.007 -0.000 -0.010 -0.000 0.012 0.005 -1.800 103.800 -0.132 2.139 
-0.000 -0.022 -0.000 -0.002 -0.015 0.010 0.010 -1.800 102.800 -0.132 2.115 
-0.000 -0.032 -0.000 -0.007 -0.020 -0.000 0.017 -1.800 101.600 -0.132 2.090 
-0.000 -0.039 -0.000 -0.007 -0.024 0.002 0.020 -1.800 100.200 -0.132 2.066 
-0.000 -0.037 -0.000 -0.007 -0.022 -0.000 0.020 -2.000 98.800 -0.132 2.042 
-0.000 -0.042 -0.000 -0.007 -0.027 -0.005 0.022 -2.000 97.200 -0.132 2.017 
-0.000 -0.051 -0.000 -0.005 -0.034 -0.002 0.024 -2.000 95.400 -0.132 1.993 
-0.000 -0.046 -0.000 -0.000 -0.034 -0.002 0.022 -2.000 93.600 -0.134 1.963 
-0.000 -0.059 -0.000 -0.010 -0.039 -0.005 0.029 -2.000 91.600 -0.134 1.934 
-0.000 -0.051 -0.000 -0.005 -0.034 -0.002 0.024 -2.000 89.600 -0.134 1.905 
-0.000 -0.056 -0.000 0.002 -0.042 -0.005 0.024 -1.800 87.400 -0.137 1.875 
-0.000 -0.059 -0.000 -0.005 -0.042 -0.005 0.029 -1.800 85.600 -0.137 1.851 
-0.000 -0.054 -0.000 -0.007 -0.037 -0.002 0.027 -1.800 83.800 -0.137 1.827 
-0.000 -0.059 -0.000 -0.005 -0.042 0.005 0.029 -1.800 82.800 -0.134 1.802 
-0.000 -0.066 -0.000 -0.007 -0.044 0.005 0.034 -1.800 81.600 -0.132 1.778 
-0.000 -0.063 -0.000 -0.007 -0.044 0.007 0.032 -1.800 81.200 -0.134 1.753 
-0.000 -0.061 -0.000 -0.010 -0.039 0.002 0.032 -1.800 81.000 -0.134 1.729 
-0.000 -0.066 -0.000 -0.002 -0.046 0.005 0.032 -2.000 81.400 -0.134 1.705 
-0.000 -0.068 -0.000 -0.005 -0.049 0.010 0.034 -2.000 81.800 -0.137 1.680 
-0.000 -0.059 -0.000 -0.005 -0.042 0.017 0.029 -2.000 82.400 -0.137 1.651 
-0.000 -0.061 -0.000 -0.005 -0.042 0.022 0.029 -2.000 83.200 -0.137 1.621 
-0.000 -0.061 -0.000 -0.000 -0.044 0.024 0.029 -2.000 84.200 -0.134 1.592 
-0.000 -0.054 -0.000 -0.007 -0.037 0.042 0.027 -1.800 85.200 -0.132 1.563 
-0.000 -0.039 -0.000 -0.024 -0.017 0.066 0.024 -1.800 86.200 -0.134 1.534 
-0.000 -0.022 -0.000 -0.027 -0.002 0.093 0.017 -1.800 87.400 -0.134 1.504 
-0.000 -0.010 -0.000 -0.039 0.012 0.110 0.015 -1.800 88.400 -0.134 1.475 
-0.000 0.002 -0.000 -0.039 0.022 0.105 0.010 -1.600 89.600 -0.137 1.446 
-0.000 0.029 -0.000 -0.042 0.044 0.068 -0.002 -1.800 90.600 -0.137 1.416 
-0.000 0.044 -0.000 -0.059 0.063 -0.032 -0.005 -1.800 91.400 -0.139 1.387 
-0.000 0.039 -0.000 -0.068 0.063 -0.078 -0.000 -1.800 92.000 -0.139 1.358 
-0.000 0.054 -0.000 -0.059 0.071 -0.103 -0.010 -1.800 92.400 -0.142 1.328 
-0.000 0.078 -0.000 -0.063 0.090 -0.110 -0.020 -1.800 92.400 -0.139 1.309 
-0.000 0.085 -0.000 -0.061 0.095 -0.115 -0.024 -1.800 92.400 -0.137 1.289 
-0.000 0.083 -0.000 -0.056 0.090 -0.137 -0.024 -1.800 92.000 -0.137 1.270 
-0.000 0.107 -0.000 -0.059 0.110 -0.149 -0.037 -1.800 91.600 -0.132 1.250 
-0.000 0.129 -0.000 -0.063 0.129 -0.164 -0.046 -1.800 91.000 -0.134 1.236 
-0.000 0.139 -0.000 -0.054 0.132 -0.161 -0.054 -1.800 90.400 -0.134 1.221 
-0.000 0.129 -0.000 -0.042 0.120 -0.161 -0.054 -1.800 89.800 -0.134 1.206 
-0.000 0.122 -0.000 -0.042 0.112 -0.151 -0.049 -1.800 89.000 -0.137 1.192 
-0.000 0.100 -0.000 -0.039 0.095 -0.122 -0.039 -1.800 88.200 -0.137 1.206 
-0.000 0.081 -0.000 -0.024 0.073 -0.085 -0.034 -1.800 87.400 -0.137 1.221 
-0.000 0.056 -0.000 -0.020 0.054 -0.078 -0.024 -1.800 86.600 -0.134 1.236 
-0.000 0.022 -0.000 -0.007 0.022 -0.071 -0.010 -2.000 85.800 -0.132 1.250 
-0.000 -0.012 -0.000 -0.020 0.002 -0.049 0.010 -2.000 85.000 -0.134 1.294 
-0.000 -0.034 -0.000 -0.020 -0.015 -0.022 0.022 -1.800 84.400 -0.134 1.338 
-0.000 -0.063 -0.000 -0.002 -0.046 -0.027 0.029 -1.800 83.800 -0.134 1.382 
-0.000 -0.078 -0.000 0.005 -0.061 -0.020 0.034 -1.800 83.400 -0.137 1.426 
-0.000 -0.088 -0.000 0.005 -0.068 -0.017 0.039 -1.800 83.000 -0.134 1.504 
-0.000 -0.093 -0.000 -0.000 -0.068 -0.010 0.044 -1.800 82.600 -0.132 1.582 
-0.000 -0.095 -0.000 0.007 -0.073 -0.010 0.044 -1.800 82.400 -0.129 1.661 
-0.000 -0.103 -0.000 0.010 -0.081 -0.012 0.046 -2.000 82.200 -0.127 1.739 
-0.000 0.144 -0.000 0.010 0.105 -0.147 -0.078 -2.000 82.200 -0.127 1.836 
-0.000 -0.149 -0.000 -0.049 -0.085 0.029 0.088 -2.000 82.000 -0.129 1.934 
-0.000 -0.076 -0.000 0.039 -0.076 -0.042 0.022 -2.000 82.000 -0.129 2.032 
-0.000 -0.276 -0.000 0.010 -0.210 0.081 0.132 -1.800 82.000 -0.132 2.129 
-0.000 -0.151 -0.000 -0.012 -0.107 0.012 0.078 -1.800 82.200 -0.132 2.247 
-0.000 -0.112 -0.000 -0.020 -0.073 -0.007 0.061 -1.800 82.200 -0.129 2.364 
-0.000 -0.120 -0.000 -0.037 -0.071 -0.022 0.071 -1.800 82.400 -0.129 2.481 
-0.000 -0.144 -0.000 -0.046 -0.083 -0.034 0.085 -1.800 82.400 -0.127 2.598 
-0.000 -0.171 -0.000 -0.061 -0.098 -0.024 0.103 -1.800 82.400 -0.127 2.711 
-0.000 -0.181 -0.000 -0.076 -0.098 -0.005 0.112 -1.800 82.400 -0.125 2.823 
-0.000 -0.215 -0.000 -0.100 -0.110 0.017 0.139 -1.800 82.400 -0.125 2.935 
-0.000 -0.261 -0.000 -0.117 -0.137 -0.015 0.168 -1.800 82.200 -0.122 3.048 
-0.000 -0.286 -0.000 -0.142 -0.142 -0.078 0.188 -1.800 82.000 -0.122 3.223 
-0.000 -0.303 -0.000 -0.164 -0.144 -0.176 0.203 -1.800 81.800 -0.122 3.399 
-0.000 -0.291 -0.000 -0.190 -0.122 -0.337 0.208 -1.800 81.600 -0.120 3.575 
-0.000 -0.261 -0.000 -0.212 -0.088 -0.486 0.200 -1.800 81.400 -0.117 3.751 
-0.000 -0.281 -0.000 -0.188 -0.115 -0.620 0.200 -1.800 81.000 -0.117 3.805 
-0.000 -0.286 -0.000 -0.166 -0.129 -0.928 0.195 -1.800 80.600 -0.117 3.858 
-0.000 -0.310 -0.000 -0.134 -0.164 -1.148 0.198 -1.800 80.400 -0.117 3.912 
-0.000 -0.300 -0.000 -0.073 -0.188 -1.167 0.173 -1.800 80.000 -0.115 3.966 
