I II III aVR aVL aVF V1 V2 AO SPO2 
-0.112 0.125 0.259 -0.017 -0.173 0.181 0.242 -0.007 103.200 2.305 
-0.120 0.107 0.247 -0.002 -0.173 0.168 0.256 0.002 103.800 2.286 
-0.117 0.100 0.232 0.002 -0.166 0.159 0.261 0.002 104.400 2.266 
-0.132 0.078 0.232 0.017 -0.171 0.144 0.271 0.015 105.000 2.247 
-0.129 0.078 0.227 0.017 -0.168 0.144 0.276 0.015 105.600 2.217 
-0.115 0.081 0.220 0.005 -0.154 0.139 0.271 0.010 106.200 2.188 
-0.120 0.076 0.215 0.012 -0.156 0.137 0.274 0.012 106.800 2.159 
-0.125 0.066 0.208 0.022 -0.156 0.129 0.271 0.017 107.400 2.129 
-0.107 0.063 0.198 0.010 -0.139 0.117 0.261 0.012 108.000 2.105 
-0.095 0.061 0.178 0.007 -0.125 0.110 0.256 0.010 108.600 2.081 
-0.083 0.049 0.154 0.007 -0.107 0.090 0.242 0.010 109.000 2.056 
-0.083 0.034 0.144 0.012 -0.100 0.076 0.230 0.015 109.400 2.032 
-0.076 0.032 0.127 0.012 -0.090 0.071 0.208 0.012 109.600 2.002 
-0.054 0.024 0.093 0.007 -0.066 0.051 0.190 0.007 109.800 1.973 
-0.044 -0.002 0.063 0.012 -0.042 0.020 0.171 0.012 110.000 1.944 
-0.024 -0.017 0.032 0.010 -0.015 -0.005 0.149 0.012 110.000 1.915 
-0.020 -0.020 0.022 0.010 -0.010 -0.010 0.127 0.010 109.800 1.885 
-0.020 -0.037 0.007 0.017 -0.000 -0.027 0.105 0.017 109.800 1.856 
-0.005 -0.039 -0.012 0.012 0.015 -0.037 0.081 0.012 109.400 1.827 
-0.000 -0.046 -0.022 0.012 0.024 -0.046 0.063 0.012 109.000 1.797 
0.010 -0.059 -0.046 0.015 0.039 -0.063 0.049 0.015 108.400 1.773 
0.024 -0.061 -0.061 0.007 0.056 -0.073 0.029 0.010 107.600 1.748 
0.024 -0.081 -0.081 0.017 0.066 -0.093 0.022 0.017 106.600 1.724 
0.039 -0.081 -0.098 0.010 0.081 -0.100 0.002 0.012 105.600 1.700 
0.044 -0.081 -0.103 0.007 0.085 -0.103 -0.002 0.010 104.400 1.670 
0.056 -0.081 -0.115 0.002 0.098 -0.107 -0.012 0.005 103.200 1.641 
0.051 -0.103 -0.129 0.015 0.103 -0.127 -0.015 0.015 102.000 1.612 
0.054 -0.112 -0.137 0.015 0.110 -0.139 -0.029 0.017 100.800 1.582 
0.051 -0.112 -0.139 0.020 0.107 -0.137 -0.032 0.017 99.600 1.553 
0.049 -0.107 -0.134 0.020 0.103 -0.132 -0.037 0.017 98.400 1.524 
0.063 -0.115 -0.156 0.015 0.122 -0.147 -0.046 0.015 97.200 1.495 
0.059 -0.117 -0.156 0.020 0.117 -0.147 -0.046 0.017 95.800 1.465 
0.063 -0.112 -0.156 0.015 0.120 -0.144 -0.049 0.015 94.400 1.431 
0.061 -0.117 -0.159 0.020 0.120 -0.147 -0.051 0.017 93.000 1.397 
0.066 -0.120 -0.164 0.017 0.127 -0.151 -0.049 0.015 91.400 1.363 
0.068 -0.122 -0.164 0.015 0.129 -0.156 -0.059 0.015 90.000 1.328 
0.068 -0.115 -0.168 0.017 0.127 -0.149 -0.059 0.012 88.600 1.299 
0.063 -0.127 -0.176 0.024 0.127 -0.159 -0.051 0.020 87.400 1.270 
0.059 -0.127 -0.171 0.027 0.122 -0.156 -0.061 0.020 86.600 1.241 
0.073 -0.117 -0.168 0.012 0.132 -0.154 -0.066 0.012 86.000 1.211 
0.066 -0.115 -0.161 0.015 0.125 -0.147 -0.063 0.015 86.200 1.197 
0.059 -0.117 -0.161 0.022 0.117 -0.147 -0.071 0.017 86.200 1.182 
0.066 -0.112 -0.164 0.017 0.122 -0.144 -0.068 0.012 86.800 1.167 
0.073 -0.107 -0.159 0.007 0.127 -0.144 -0.066 0.010 87.200 1.153 
0.056 -0.110 -0.144 0.017 0.112 -0.137 -0.073 0.015 87.600 1.148 
0.063 -0.081 -0.122 -0.002 0.105 -0.112 -0.078 0.002 88.200 1.143 
0.029 -0.161 -0.171 0.056 0.110 -0.176 -0.027 0.042 88.600 1.138 
0.042 -0.105 -0.129 0.024 0.095 -0.125 -0.071 0.020 89.000 1.133 
0.034 -0.107 -0.125 0.029 0.088 -0.125 -0.076 0.022 89.000 1.153 
0.034 -0.105 -0.117 0.024 0.088 -0.122 -0.073 0.022 89.200 1.172 
0.029 -0.100 -0.107 0.024 0.081 -0.115 -0.081 0.022 89.000 1.192 
0.020 -0.085 -0.088 0.024 0.063 -0.095 -0.098 0.020 88.800 1.211 
0.020 -0.085 -0.085 0.024 0.063 -0.095 -0.107 0.020 88.200 1.255 
0.017 -0.068 -0.063 0.015 0.051 -0.076 -0.105 0.015 87.600 1.299 
